constituency,name,wikipedia,party,source,term,wikiname,id
Chobe,Ronald Shamukuni,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",ronald_shamukuni
Maun East,Kostantinos Markus,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",kostantinos_markus
Maun West,Tawana Moremi,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",tawana_moremi
Ngami,Thato Kwerepe,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",thato_kwerepe
Okavango,Bagalatia Arone,"",BCP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",bagalatia_arone
Tati East,Guma Moyo,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",guma_moyo
Tati West,Biggie Butale,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",biggie_butale
Francistown East,Buti Billy,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",buti_billy
Francistown South,Wynter Mmolotsi,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",wynter_mmolotsi
Francistown West,Mokwaledi Moswaane,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",mokwaledi_moswaane
Nata-Gweta,Polson Majaga,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",polson_majaga
Nkange,Edwin Batshu,https://en.wikipedia.org/wiki/Edwin_Batshu,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Edwin Batshu,edwin_batshu
Shashe West,Fidelis Molao,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",fidelis_molao
Tonota,Thapelo Olopeng,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",thapelo_olopeng
Bobonong,Shaw Kgathi,https://en.wikipedia.org/wiki/Shaw_Kgathi,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Shaw Kgathi,shaw_kgathi
Mmadinare,Kefentse Mzwinila,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",kefentse_mzwinila
Selibe Phikwe East,Nonofo Molefhi,https://en.wikipedia.org/wiki/Nonofo_Molefhi,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Nonofo Molefhi,nonofo_molefhi
Selibe Phikwe West,Dithapelo Keorapetse,"",BCP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",dithapelo_keorapetse
Lerala-Maunalala,Prince Maele,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",prince_maele
Palapye,Moiseraela Goya,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",moiseraela_goya
Sefhare-Ramokgonami,Dorcus Makgatho-Malesu,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",dorcus_makgatho-malesu
Mahalapye East,Botlogile Tshireletso,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",botlogile_tshireletso
Mahalapye West,Joseph Molefe,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",joseph_molefe
Shosong,Dikgang Makgalemele,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",dikgang_makgalemele
Serowe North,Kgotla Autlwetse,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",kgotla_autlwetse
Serowe West,Tshekedi Khama II,https://en.wikipedia.org/wiki/Tshekedi_Khama_II,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Tshekedi Khama II,tshekedi_khama_ii
Serowe South,Pelonomi Venson-Moitoi,https://en.wikipedia.org/wiki/Pelonomi_Venson-Moitoi,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Pelonomi Venson-Moitoi,pelonomi_venson-moitoi
Boteti East,Lelatisitswe Sethomo,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",lelatisitswe_sethomo
Boteti West,Slumber Tsogwane,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",slumber_tsogwane
Mochudi East,Isaac Davids,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",isaac_davids
Mochudi West,Gilbert Mangole,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",gilbert_mangole
Gaborone Central,Phenyo Butale,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",phenyo_butale
Gaborone North,Haskins Nkaigwa,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",haskins_nkaigwa
Gaborone South,Kagiso Molatlhegi,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",kagiso_molatlhegi
Gaborone Bonnington North,Duma Boko,https://en.wikipedia.org/wiki/Duma_Boko,UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Duma Boko,duma_boko
Gaborone Bonnington South,Ndaba Gaolathe,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",ndaba_gaolathe
Tlokweng,Same Bathobakae,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",same_bathobakae
Ramotswa,Samuel Rantuana,"",BCP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",samuel_rantuana
Mogodtishane,Sedirwa Kgoroba,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",sedirwa_kgoroba
Gabane-Mmankgodi,Pius Mokgware,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",pius_mokgware
Thamaga-Kumakwane,Tshenolo Mabeo,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",tshenolo_mabeo
Molepolole North,Mohammed I. Khan,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",mohammed_i._khan
Molepolole South,Tlamelo Mmatli,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",tlamelo_mmatli
Lentswaeletau-Mmopane,Vincent Seretse,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",vincent_seretse
Letlhakeng-Lephephe,Liakat Kablay,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",liakat_kablay
Takatokwane,Ngaka Ngaka,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",ngaka_ngaka
Lobatse,Sadique Kebonang,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",sadique_kebonang
Goodhope-Mabule,James Mathokgwane,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",james_mathokgwane
Mmathethe-Molapowabojang,Alfred Madigele,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",alfred_madigele
Kanye North,Patrick Ralotsia,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",patrick_ralotsia
Kanye South,Abram Kesupile,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",abram_kesupile
Moshupa-Manyana,Mokgweetsi Masisi,https://en.wikipedia.org/wiki/Mokgweetsi_Masisi,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Mokgweetsi Masisi,mokgweetsi_masisi
Jwaneng-Mabutsane,Shawn Ntlhaile,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",shawn_ntlhaile
Kgalagadi North,Itumeleng Moipisi,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",itumeleng_moipisi
Kgalagadi South,Frans Van Der Westhuizen,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",frans_van_der_westhuizen
Ghanzi North,Noah Salakae,"",UDC,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",noah_salakae
Ghanzi South,Christiaan De Graaff,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",christiaan_de_graaff
"",Kenneth Matambo,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",kenneth_matambo
"",Unity Dow,https://en.wikipedia.org/wiki/Unity_Dow,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Unity Dow,unity_dow
"",Eric Molale,"",BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,"",eric_molale
"",Kitso Mokaila,https://en.wikipedia.org/wiki/Kitso_Mokaila,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Kitso Mokaila,kitso_mokaila
"",Ian Khama,https://en.wikipedia.org/wiki/Ian_Khama,BDP,https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Ian Khama,ian_khama
"",Athaliah Molokomme,https://en.wikipedia.org/wiki/Athaliah_Molokomme,"",https://en.wikipedia.org/wiki/List_of_current_members_of_the_National_Assembly_of_Botswana,2014,Athaliah Molokomme,athaliah_molokomme
